	三字經	san1 tzŭ4 ching1	three | word | classic	
1	人之初	jen2 chih1 ch'u1	man | arrive | beginning	Men at their birth
2	性本善	hsing4 pên3 shan4	nature | root | good	are naturally good.
3	性相近	hsing4 hsiang1 chin4	nature | mutual | near	Their natures are much the same;
4	習相遠	hsi2 hsiang1 yüan3	practice | mutual | far	their habits become widely different.
5	苟不教	kou3 pu1 chiao4	wrongly | not | teach	If foolishly there is no teaching,
6	性乃遷	hsing4 nai3 ch'ien1	nature | then | move	the nature will deteriorate.
7	教之道	chiao4 chih1 tao4	teach | arrive | road	The right way in teaching
8	貴以專	kuei4 i3 chuan1	valuable | take | single	is to attach the utmost importance to thoroughness.
9	昔孟母	hsi1 mêng4 mu3	old | mencius | mother	Of old, the mother of Mencius
10	擇鄰處	tsê2 lin2 ch'u4	choose | neighbour | place	chose a neighbourhood;
11	子不學	tzŭ3 pu1 hsüeh2	child | not | learn	and when her child would not learn,
12	斷機杼	tuan4 chi1 chu4	break | machine | shuttle	she broke the shuttle from the loom.
13	竇燕山	tou4 yen4 shan1	tou | swallow | hill	Tou of the Swallow Hills
14	有義方	yu3 i4 fang1	have | duty | method	had the right method.
15	教五子	chiao4 wu2 tzŭ3	teach | five | son	He taught five sons,
16	名俱揚	ming2 chü1 yang2	name | all | raise	each of whom raised the family reputation.
17	養不教	yang3 pu1 chiao4	feed | not | teach	To feed without teaching
18	父之過	fu4 chih1 kuo4	father | arrive | transgress	is the father's fault.
19	教不嚴	chiao4 pu1 yen2	teach | not | severe	To teach, without severity
20	師之惰	shih1 chih1 to4	teacher | arrive | lazy	is the teacher's laziness.
21	子不學	tzŭ3 pu1 hsüeh2	child | not | learn	If the child does not learn,
22	非所宜	fei1 so3 i2	not | what | ought	this is not as it should be.
23	幼不學	yu4 pu1 hsüeh2	young | not | learn	If he does not learn while young,
24	老何為	lao3 ho2 wei2	old | what | be	what will he be when old?
25	玉不琢	yü4 pu1 cho2	jade | not | polish	If jade is not polished,
26	不成器	pu1 ch'êng2 ch'i4	not | become | utensil	it cannot become a thing of use.
27	人不學	jen2 pu1 hsüeh2	man | not | learn	If a man does not learn,
28	不知義	pu1 chih1 i4	not | know | duty	he cannot know his duty towards his neighbour.
29	為人子	wei2 jen2 tzŭ3	be | man | child	He who is the son of a man,
30	方少時	fang1 shao4 shih2	just | young | time	when he is young
31	親師友	ch'in1 shih1 yu3	intimate | teacher | friend	should attach himself to his teachers and friends.
32	習禮儀	hsi2 li3 i4	practise | ceremonies | usages	and practise ceremonial usages.
33	香九齡	hsiang1 chiu3 ling2	hsiang | nine | year	Hsiang, at nine years of age,
34	能温席	nêng2 wên1 hsi2	able | warm | mat	could warm (his parents') bed.
35	孝於親	hsiao4 yü2 ch'in1	filial | towards | parents	Filial piety towards parents
36	所當執	so3 tang1 chih2	what | ought | hold	is that to which we should hold fast.
37	融四歲	jung2 ssŭ4 sui4	jung | four | year	Jung, at four years of age,
38	能讓梨	nêng2 jang4 li2	able | yield | pear	could yield the (bigger) pears.
39	弟於長	t'i4 yu2 chang3	fraternal | towards | grow	To behave as a younger brother towards elders,
40	宜先知	i2 hsien1 chih1	ought | before | know	is one of the first things to know.
41	首孝弟	shou3 hsiao4 t'i4	head | filial | fraternal	Begin with filial piety and fraternal love,
42	次見聞	tz'ŭ4 chien4 wên2	second | see | hear	and then see and hear.
43	知某數	chih1 mou3 shu4	know | certain | numbers	Learn to count,
44	識某文	shih4 mou3 wên2	know | certain | characters	and learn to read.
45	一而十	i1 êrh2 shih2	one | and | ten	Units and tens,
46	十而百	shih2 êrh2 pai3 or pŏ	ten | and | hundred	tens and hundreds,
47	百而千	pai3 êrh2 ch'ien1	hundred | and | thousand	hundreds and thousands,
48	千而萬	ch'ien1 êrh2 wan4	thousand | and | ten-thousand	thousands and tens of thousands.
49	三才者	san1 ts'ai2 chê3	three | force | ones	The Three Forces
50	天地人	t'ien1 ti4 jen2	heaven | earth | man	are Heaven, Earth, and Man.
51	三光者	san1 kuang1 chê3	three | bright | ones	The Three Luminaries
52	日月星	jih4 yüeh4 hsing1	sun | moon | star	are the sun, the moon, and the stars.
53	三綱者	san1 kang1 chê3	three | bond | one	The Three Bonds
54	君臣義	chün1 ch'ên2 i4	prince | minister | duty	are (1) the obligation between sovereign and subject,
55	父子親	fu4 tzŭ3 ch'in1	father | child | love	(2) the love between father and child,
